Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
1999-01-18,0.03760489076375961,0.04476720030332596,0.03557501920987287,0.040111514837721254,2714688000
1999-01-25,0.036291059106588364,0.042857424904845,0.036291059106588364,0.0405891775688216,1569600000
1999-02-01,0.037843264639377594,0.03820174606193556,0.03306838963687076,0.036291064466192915,812688000
1999-02-08,0.03987313061952591,0.04011150683198657,0.03414291389403875,0.03808163568323569,631248000
1999-02-15,0.03987313061952591,0.04226056779470504,0.03605267988165343,0.040589178019551024,424800000
1999-02-22,0.0419020876288414,0.05013984351260412,0.03796244696345007,0.040589179189442624,1277856000
1999-03-01,0.04023071005940437,0.04393197221735897,0.03772408223451483,0.04297662952370619,344928000
1999-03-08,0.03891778364777565,0.04273823393441063,0.03820173633232366,0.03915615983208144,599472000
1999-03-15,0.04011149704456329,0.04130521534087911,0.038559297462122,0.03987312089026771,390960000
1999-03-22,0.0399923138320446,0.041066842428296356,0.03485895553996785,0.04094673728698566,390096000
1999-03-29,0.03915616497397423,0.042141378537278285,0.03712721256107108,0.04118603956500719,319488000
1999-04-05,0.04011149704456329,0.042021262566184804,0.036291050654375004,0.038679402593951896,436368000
1999-04-12,0.037962447851896286,0.03963383771434037,0.03581430553963199,0.03963383771434037,192528000
1999-04-19,0.032949209213256836,0.038440133281183675,0.0327099175526302,0.038440133281183675,489696000
1999-04-26,0.03485896810889244,0.036291066604388335,0.030560848758659977,0.03294920174792391,618000000
1999-05-03,0.0334259495139122,0.035216525600085626,0.031516183619593886,0.035216525600085626,335088000
1999-05-10,0.03438129648566246,0.03724640167990533,0.033187577795173624,0.033187577795173624,458304000
1999-05-17,0.03247152641415596,0.04082755282354205,0.03151618407198448,0.03390362116480176,1120704000
1999-05-24,0.032590724527835846,0.03414292499363022,0.03187467689502938,0.0327099143805511,568416000
1999-05-31,0.032590724527835846,0.0327099143805511,0.03151619540489305,0.03247153809059621,349152000
1999-06-07,0.033784426748752594,0.03509733492601415,0.03259070836509639,0.03276949134776745,470736000
1999-06-14,0.03127780184149742,0.03438128571169374,0.03127780184149742,0.03384401803145753,399024000
1999-06-21,0.03270990401506424,0.03318757520654593,0.03136674132928463,0.03223223282358255,676176000
1999-06-28,0.03712722659111023,0.03712722659111023,0.03247154023389292,0.03378444573344943,784944000
1999-07-05,0.04052957892417908,0.04082754829253856,0.03557500693421482,0.03748477264400233,658992000
